"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2018","Ontario","Other organic materials","All sources of diverted materials",35,2.20622324148135
"2018","Ontario","Other organic materials","Residential sources of diverted materials",35,
"2018","Ontario","Other organic materials","Non-residential sources of diverted materials",35,
"2018","Ontario","Other materials","All sources of diverted materials",35,1.80341020912914
"2018","Ontario","Other materials","Residential sources of diverted materials",35,1.31383637289305
"2018","Ontario","Other materials","Non-residential sources of diverted materials",35,0.489573836236086
"2018","Manitoba","All materials diverted","All sources of diverted materials",46,163.893790655192
"2018","Manitoba","All materials diverted","Residential sources of diverted materials",46,
"2018","Manitoba","All materials diverted","Non-residential sources of diverted materials",46,
"2018","Manitoba","All paper fibres","All sources of diverted materials",46,64.8073057551377
"2018","Manitoba","All paper fibres","Residential sources of diverted materials",46,39.6869342279478
"2018","Manitoba","All paper fibres","Non-residential sources of diverted materials",46,25.12037152719
"2018","Manitoba","Glass","All sources of diverted materials",46,6.66451292871152
"2018","Manitoba","Glass","Residential sources of diverted materials",46,6.2919211909333
"2018","Manitoba","Glass","Non-residential sources of diverted materials",46,0.372591737778215
"2018","Manitoba","Ferrous metals","All sources of diverted materials",46,
"2018","Manitoba","Ferrous metals","Residential sources of diverted materials",46,
"2018","Manitoba","Ferrous metals","Non-residential sources of diverted materials",46,
"2018","Manitoba","Copper and aluminum","All sources of diverted materials",46,1.90066142426149
"2018","Manitoba","Copper and aluminum","Residential sources of diverted materials",46,1.63156739142167
"2018","Manitoba","Copper and aluminum","Non-residential sources of diverted materials",46,0.269094032839822
"2018","Manitoba","Mixed metals","All sources of diverted materials",46,3.1041918788308
"2018","Manitoba","Mixed metals","Residential sources of diverted materials",46,2.42997825808927
"2018","Manitoba","Mixed metals","Non-residential sources of diverted materials",46,0.674213620741531
"2018","Manitoba","White goods","All sources of diverted materials",46,2.19784769129887
"2018","Manitoba","White goods","Residential sources of diverted materials",46,1.34842724148306
"2018","Manitoba","White goods","Non-residential sources of diverted materials",46,0.849420449815811
"2018","Manitoba","Electronics","All sources of diverted materials",46,2.23555042666929
"2018","Manitoba","Electronics","Residential sources of diverted materials",46,
"2018","Manitoba","Electronics","Non-residential sources of diverted materials",46,
"2018","Manitoba","Plastics","All sources of diverted materials",46,5.01816015087008
"2018","Manitoba","Plastics","Residential sources of diverted materials",46,4.23970955586917
"2018","Manitoba","Plastics","Non-residential sources of diverted materials",46,0.778450595000913
"2018","Manitoba","Gable top and aseptic containers","All sources of diverted materials",46,
"2018","Manitoba","Gable top and aseptic containers","Residential sources of diverted materials",46,
"2018","Manitoba","Gable top and aseptic containers","Non-residential sources of diverted materials",46,
"2018","Manitoba","Textiles","All sources of diverted materials",46,
"2018","Manitoba","Textiles","Residential sources of diverted materials",46,
"2018","Manitoba","Textiles","Non-residential sources of diverted materials",46,
"2018","Manitoba","Tires","All sources of diverted materials",46,11.8320054824213
"2018","Manitoba","Tires","Residential sources of diverted materials",46,
"2018","Manitoba","Tires","Non-residential sources of diverted materials",46,
"2018","Manitoba","Construction, renovation and demolition","All sources of diverted materials",46,2.95412020667013
"2018","Manitoba","Construction, renovation and demolition","Residential sources of diverted materials",46,1.91027192543434
"2018","Manitoba","Construction, renovation and demolition","Non-residential sources of diverted materials",46,1.04384828123579
"2018","Manitoba","All organic materials","All sources of diverted materials",46,41.6001632306661
"2018","Manitoba","All organic materials","Residential sources of diverted materials",46,31.9312597814572
"2018","Manitoba","All organic materials","Non-residential sources of diverted materials",46,9.66890344920887
"2018","Manitoba","Food waste and source separated organics","All sources of diverted materials",46,
"2018","Manitoba","Food waste and source separated organics","Residential sources of diverted materials",46,
"2018","Manitoba","Food waste and source separated organics","Non-residential sources of diverted materials",46,
"2018","Manitoba","Leaf and yard waste","All sources of diverted materials",46,31.171290919481
"2018","Manitoba","Leaf and yard waste","Residential sources of diverted materials",46,
"2018","Manitoba","Leaf and yard waste","Non-residential sources of diverted materials",46,
"2018","Manitoba","Other organic materials","All sources of diverted materials",46,
"2018","Manitoba","Other organic materials","Residential sources of diverted materials",46,
"2018","Manitoba","Other organic materials","Non-residential sources of diverted materials",46,
"2018","Manitoba","Other materials","All sources of diverted materials",46,4.60712640840047
"2018","Manitoba","Other materials","Residential sources of diverted materials",46,2.6022280098796
"2018","Manitoba","Other materials","Non-residential sources of diverted materials",46,2.00489839852087
"2018","Saskatchewan","All materials diverted","All sources of diverted materials",47,168.396744536027
"2018","Saskatchewan","All materials diverted","Residential sources of diverted materials",47,
"2018","Saskatchewan","All materials diverted","Non-residential sources of diverted materials",47,
"2018","Saskatchewan","All paper fibres","All sources of diverted materials",47,49.6267979000355
"2018","Saskatchewan","All paper fibres","Residential sources of diverted materials",47,32.6990771572638
"2018","Saskatchewan","All paper fibres","Non-residential sources of diverted materials",47,16.9277207427716
"2018","Saskatchewan","Glass","All sources of diverted materials",47,
"2018","Saskatchewan","Glass","Residential sources of diverted materials",47,
"2018","Saskatchewan","Glass","Non-residential sources of diverted materials",47,
"2018","Saskatchewan","Ferrous metals","All sources of diverted materials",47,
"2018","Saskatchewan","Ferrous metals","Residential sources of diverted materials",47,
"2018","Saskatchewan","Ferrous metals","Non-residential sources of diverted materials",47,
"2018","Saskatchewan","Copper and aluminum","All sources of diverted materials",47,6.63633768952007
"2018","Saskatchewan","Copper and aluminum","Residential sources of diverted materials",47,5.86225685645341
"2018","Saskatchewan","Copper and aluminum","Non-residential sources of diverted materials",47,0.774080833066657
"2018","Saskatchewan","Mixed metals","All sources of diverted materials",47,1.40199444737548
"2018","Saskatchewan","Mixed metals","Residential sources of diverted materials",47,0.856245837693845
"2018","Saskatchewan","Mixed metals","Non-residential sources of diverted materials",47,0.545748609681632
"2018","Saskatchewan","White goods","All sources of diverted materials",47,1.60437982719402
"2018","Saskatchewan","White goods","Residential sources of diverted materials",47,0.864029890763789
"2018","Saskatchewan","White goods","Non-residential sources of diverted materials",47,0.740349936430233
"2018","Saskatchewan","Electronics","All sources of diverted materials",47,2.02731337732765
"2018","Saskatchewan","Electronics","Residential sources of diverted materials",47,
"2018","Saskatchewan","Electronics","Non-residential sources of diverted materials",47,
